student_id,gender,age_band,region,school_board,parental_education,family_income,internet_access,device_type,data_recharge_frequency,disability,has_private_tuition,num_of_prev_attempts,daily_study_hours,attendance_rate,performance
S3882,M,0-25,East,CBSE,School,5L–10L,Yes,Laptop,Monthly,No,No,2,2.0,0.89,Low
S3883,F,26-35,South,ICSE,None,2L–5L,Yes,Mobile,Weekly,No,Yes,2,1.0,0.94,High
S3884,F,26-35,North,ICSE,Graduate,>10L,Yes,Laptop,Daily,No,Yes,1,3.7,0.92,High
S3885,F,26-35,East,CBSE,None,2L–5L,Yes,Mobile,Daily,No,No,1,1.4,0.93,High
S3886,F,36-45,North,ICSE,School,2L–5L,Yes,Mobile,Weekly,No,Yes,0,3.0,0.73,Moderate
S3887,M,0-25,South,ICSE,Postgraduate,5L–10L,Yes,Tablet,Monthly,No,Yes,2,2.3,0.69,High
S3888,M,36-45,West,ICSE,Graduate,>10L,Yes,Tablet,Daily,No,Yes,2,3.7,0.64,Low
S3889,F,0-25,West,ICSE,None,2L–5L,Yes,Mobile,Monthly,No,No,0,2.5,0.79,Moderate
S3890,F,0-25,South,CBSE,Graduate,5L–10L,Yes,Laptop,Monthly,No,Yes,1,3.9,0.74,High
S3891,M,36-45,West,CBSE,School,2L–5L,Yes,Mobile,Weekly,No,No,0,0.8,0.85,Moderate
S3892,F,26-35,East,ICSE,Graduate,5L–10L,No,Laptop,Weekly,No,Yes,0,2.8,0.61,Low
S3893,M,0-25,South,State,School,<2L,Yes,Mobile,Weekly,No,Yes,0,2.7,0.74,High
S3894,F,36-45,West,CBSE,Postgraduate,5L–10L,Yes,Mobile,Monthly,No,Yes,2,2.9,0.74,Low
S3895,F,26-35,South,State,School,5L–10L,Yes,Mobile,Daily,No,No,0,1.6,0.95,High
S3896,M,0-25,North,ICSE,Postgraduate,<2L,Yes,Tablet,Weekly,No,No,1,0.8,0.75,Moderate
S3897,M,0-25,East,ICSE,Postgraduate,>10L,Yes,Tablet,Monthly,No,Yes,1,1.2,0.61,High
S3898,M,26-35,East,CBSE,Postgraduate,5L–10L,Yes,Tablet,Weekly,No,Yes,0,3.5,0.7,High
S3899,M,0-25,East,State,None,5L–10L,Yes,Mobile,Weekly,No,No,1,3.4,0.67,High
S3900,F,36-45,West,CBSE,School,2L–5L,No,Mobile,Monthly,No,Yes,0,1.3,0.88,High
S3901,M,0-25,North,CBSE,Postgraduate,5L–10L,Yes,Tablet,Monthly,No,Yes,0,0.6,0.77,Low
S3902,F,0-25,West,CBSE,School,5L–10L,Yes,Mobile,Weekly,No,No,2,2.8,0.65,High
S3903,M,26-35,West,ICSE,Graduate,2L–5L,Yes,Laptop,Weekly,No,Yes,0,1.3,0.7,Moderate
S3904,M,36-45,South,State,School,>10L,Yes,Mobile,Weekly,No,Yes,2,2.2,0.61,Low
S3905,F,26-35,East,ICSE,School,<2L,Yes,Tablet,Weekly,No,No,0,2.0,0.7,High
S3906,M,36-45,West,ICSE,School,<2L,Yes,Mobile,Weekly,No,Yes,1,2.8,0.6,High
S3907,M,26-35,East,ICSE,School,5L–10L,Yes,Mobile,Daily,No,Yes,0,1.7,0.82,Moderate
S3908,M,0-25,North,CBSE,None,>10L,Yes,Laptop,Weekly,No,Yes,2,2.0,0.96,High
S3909,M,36-45,North,ICSE,Postgraduate,<2L,Yes,Mobile,Daily,No,Yes,2,3.4,0.6,Low
S3910,F,36-45,East,ICSE,Postgraduate,2L–5L,Yes,Laptop,Daily,No,Yes,0,1.6,0.89,High
S3911,F,0-25,East,ICSE,Postgraduate,5L–10L,Yes,Tablet,Daily,No,Yes,0,1.2,0.79,High
S3912,M,26-35,North,ICSE,Graduate,5L–10L,Yes,Laptop,Daily,No,Yes,1,1.8,0.85,Moderate
S3913,M,36-45,North,ICSE,Graduate,>10L,Yes,Mobile,Weekly,No,Yes,1,1.4,0.9,Moderate
S3914,M,0-25,West,ICSE,School,5L–10L,Yes,Laptop,Monthly,No,No,0,3.7,0.74,High
S3915,F,0-25,North,State,None,>10L,Yes,Tablet,Weekly,No,No,0,0.5,0.76,Moderate
S3916,F,36-45,West,CBSE,None,<2L,Yes,Tablet,Weekly,No,Yes,0,3.4,0.82,Low
S3917,F,36-45,North,ICSE,School,<2L,Yes,Laptop,Daily,No,No,1,1.4,0.71,High
S3918,F,36-45,West,CBSE,School,>10L,Yes,Tablet,Daily,No,Yes,0,1.5,0.7,Low
S3919,M,0-25,South,State,Postgraduate,<2L,Yes,Laptop,Monthly,No,No,1,0.9,0.76,Moderate
S3920,M,26-35,South,State,Graduate,<2L,Yes,Laptop,Daily,No,No,2,2.3,0.65,High
S3921,M,26-35,West,CBSE,Graduate,<2L,Yes,Tablet,Weekly,No,Yes,1,0.7,0.76,Low
S3922,F,36-45,East,State,Graduate,>10L,Yes,Laptop,Weekly,No,Yes,2,2.0,0.91,High
S3923,M,0-25,South,ICSE,Graduate,2L–5L,Yes,Mobile,Weekly,Yes,No,0,3.1,0.62,Low
S3924,F,0-25,North,State,School,2L–5L,Yes,Laptop,Daily,No,Yes,2,3.0,0.95,High
S3925,F,36-45,East,ICSE,School,<2L,Yes,Tablet,Monthly,No,Yes,0,1.0,0.83,Low
S3926,M,0-25,North,CBSE,Graduate,2L–5L,Yes,Laptop,Weekly,No,Yes,1,1.7,0.89,Moderate
S3927,M,0-25,South,CBSE,Postgraduate,<2L,Yes,Mobile,Monthly,No,No,1,3.3,0.78,Moderate
S3928,M,0-25,North,CBSE,Postgraduate,5L–10L,Yes,Tablet,Monthly,No,Yes,1,1.0,0.95,High
S3929,F,36-45,West,CBSE,Postgraduate,2L–5L,Yes,Laptop,Weekly,No,No,0,1.2,0.83,High
S3930,F,36-45,East,CBSE,Graduate,5L–10L,Yes,Laptop,Weekly,No,Yes,2,1.2,0.9,Moderate
S3931,M,36-45,South,CBSE,Postgraduate,<2L,Yes,Mobile,Monthly,No,Yes,2,3.7,0.93,High
S3932,M,26-35,East,ICSE,School,2L–5L,No,Tablet,Weekly,No,No,1,0.6,0.76,Moderate
S3933,F,26-35,West,CBSE,Graduate,2L–5L,Yes,Tablet,Monthly,No,Yes,1,0.9,0.95,Moderate
S3934,M,36-45,South,State,Postgraduate,5L–10L,Yes,Mobile,Monthly,No,Yes,1,4.0,0.81,Moderate
S3935,F,0-25,North,ICSE,School,<2L,Yes,Laptop,Daily,No,No,1,3.0,0.71,High
S3936,F,0-25,East,ICSE,Graduate,2L–5L,Yes,Laptop,Monthly,No,No,0,3.0,0.74,Low
S3937,M,36-45,South,ICSE,School,>10L,Yes,Mobile,Weekly,No,Yes,0,1.5,0.93,High
S3938,M,0-25,South,ICSE,Postgraduate,<2L,No,Laptop,Weekly,No,Yes,0,2.7,0.76,High
S3939,M,0-25,West,CBSE,None,>10L,Yes,Laptop,Weekly,No,No,1,2.1,0.81,Low
S3940,M,26-35,South,CBSE,Postgraduate,2L–5L,Yes,Laptop,Monthly,No,Yes,2,1.6,0.69,Low
S3941,F,0-25,South,CBSE,School,2L–5L,Yes,Laptop,Weekly,No,No,1,0.7,0.9,Moderate
S3942,F,0-25,West,State,None,>10L,Yes,Tablet,Daily,No,Yes,0,4.0,0.83,High
S3943,F,36-45,North,CBSE,None,2L–5L,Yes,Tablet,Weekly,No,No,0,0.8,0.74,Moderate
S3944,M,26-35,North,CBSE,Graduate,2L–5L,Yes,Mobile,Weekly,No,No,1,2.3,0.96,Low
S3945,F,26-35,South,State,None,<2L,Yes,Mobile,Monthly,No,No,1,2.3,0.7,Moderate
S3946,M,0-25,North,CBSE,Graduate,<2L,Yes,Laptop,Weekly,No,Yes,2,3.1,0.99,Moderate
S3947,M,36-45,West,CBSE,None,<2L,Yes,Tablet,Daily,Yes,No,2,1.1,0.92,High
S3948,M,26-35,North,ICSE,None,5L–10L,Yes,Tablet,Monthly,No,No,2,3.6,0.94,High
S3949,M,26-35,South,CBSE,Graduate,<2L,Yes,Tablet,Monthly,No,No,0,3.3,0.86,High
S3950,M,0-25,West,State,School,2L–5L,Yes,Tablet,Monthly,No,No,0,2.5,0.99,High
S3951,M,26-35,North,ICSE,Graduate,2L–5L,Yes,Tablet,Weekly,No,Yes,0,2.6,0.72,Low
S3952,F,36-45,East,State,None,5L–10L,Yes,Laptop,Weekly,No,No,0,1.7,0.7,Moderate
S3953,M,36-45,East,State,Postgraduate,2L–5L,Yes,Laptop,Monthly,No,No,1,0.8,0.94,High
S3954,F,26-35,West,CBSE,Graduate,5L–10L,Yes,Laptop,Daily,No,Yes,1,1.3,0.94,High
S3955,F,36-45,North,ICSE,Graduate,<2L,Yes,Mobile,Daily,No,No,0,3.1,0.86,Low
S3956,M,36-45,South,CBSE,None,>10L,Yes,Laptop,Daily,No,No,2,0.6,0.79,High
S3957,M,0-25,East,ICSE,None,>10L,Yes,Tablet,Weekly,No,No,2,1.0,0.77,Low
S3958,M,26-35,North,ICSE,Postgraduate,>10L,Yes,Tablet,Monthly,No,No,2,3.5,0.6,Moderate
S3959,F,26-35,North,ICSE,None,>10L,Yes,Mobile,Monthly,No,No,0,3.4,0.89,High
S3960,M,0-25,South,State,Graduate,>10L,Yes,Tablet,Weekly,No,No,0,3.3,1.0,Low
S3961,F,0-25,South,CBSE,Graduate,5L–10L,Yes,Tablet,Weekly,No,No,0,2.4,0.9,Low
S3962,M,0-25,North,ICSE,Graduate,2L–5L,Yes,Mobile,Daily,No,No,1,3.3,0.71,Moderate
S3963,M,0-25,South,ICSE,School,5L–10L,Yes,Laptop,Weekly,No,Yes,0,2.4,0.76,Low
S3964,F,36-45,West,State,Graduate,2L–5L,Yes,Laptop,Weekly,No,No,0,2.0,0.82,Moderate
S3965,F,36-45,East,ICSE,School,<2L,Yes,Tablet,Monthly,No,Yes,0,3.9,0.83,High
S3966,M,0-25,East,ICSE,None,5L–10L,Yes,Mobile,Daily,Yes,No,0,3.9,0.75,Low
S3967,F,26-35,North,CBSE,School,<2L,Yes,Laptop,Monthly,No,Yes,2,1.3,0.77,High
S3968,F,26-35,North,State,Graduate,2L–5L,No,Laptop,Monthly,No,No,0,1.5,0.87,Low
S3969,F,26-35,South,State,None,2L–5L,Yes,Laptop,Monthly,No,No,0,1.5,0.68,High
S3970,F,0-25,East,ICSE,School,2L–5L,Yes,Mobile,Monthly,No,Yes,2,0.6,0.98,Low
S3971,F,36-45,South,ICSE,None,2L–5L,Yes,Laptop,Monthly,No,No,1,2.8,0.69,High
S3972,M,36-45,North,State,None,>10L,Yes,Mobile,Daily,No,No,2,3.1,0.91,High
S3973,M,36-45,North,ICSE,School,2L–5L,No,Tablet,Monthly,No,No,2,0.9,0.78,Low
S3974,F,36-45,North,ICSE,None,2L–5L,Yes,Mobile,Weekly,No,No,2,3.6,0.73,Moderate
S3975,M,26-35,North,State,None,<2L,Yes,Laptop,Daily,No,No,2,1.1,0.84,Low
S3976,M,26-35,North,ICSE,Graduate,<2L,Yes,Tablet,Monthly,No,Yes,2,2.7,0.77,High
S3977,F,36-45,North,CBSE,Postgraduate,>10L,Yes,Tablet,Weekly,No,Yes,0,3.4,0.83,High
S3978,M,0-25,West,ICSE,Postgraduate,>10L,Yes,Mobile,Monthly,No,No,1,2.2,0.63,Moderate
S3979,F,36-45,West,State,None,>10L,Yes,Mobile,Weekly,No,No,2,1.2,0.69,High
S3980,F,36-45,South,CBSE,School,>10L,No,Laptop,Monthly,No,No,1,0.7,0.96,High
S3981,M,0-25,West,ICSE,Postgraduate,>10L,Yes,Mobile,Daily,No,Yes,0,2.5,0.62,High
S3982,F,36-45,South,CBSE,School,<2L,Yes,Tablet,Weekly,No,Yes,2,1.9,0.76,High
S3983,F,26-35,South,State,Postgraduate,<2L,Yes,Tablet,Daily,No,No,2,0.8,0.84,Moderate
S3984,F,0-25,West,CBSE,Graduate,5L–10L,Yes,Laptop,Daily,No,No,1,3.5,0.77,High
S3985,F,0-25,East,ICSE,Graduate,>10L,Yes,Laptop,Monthly,No,Yes,0,0.6,0.68,Moderate
S3986,F,36-45,South,ICSE,School,2L–5L,Yes,Tablet,Monthly,Yes,No,0,3.2,0.75,High
S3987,M,26-35,North,State,School,>10L,Yes,Laptop,Daily,Yes,Yes,0,3.2,0.62,High
S3988,M,26-35,South,CBSE,Graduate,5L–10L,Yes,Tablet,Monthly,No,No,0,0.5,0.73,High
S3989,F,26-35,South,CBSE,School,5L–10L,Yes,Laptop,Daily,No,No,2,1.0,0.75,Moderate
S3990,F,36-45,East,State,None,2L–5L,Yes,Mobile,Monthly,No,No,1,2.9,0.89,High
S3991,M,36-45,North,State,Graduate,<2L,No,Tablet,Monthly,No,Yes,1,2.1,0.92,Low
S3992,F,26-35,East,State,Graduate,5L–10L,Yes,Laptop,Monthly,No,Yes,1,2.6,0.85,High
S3993,M,36-45,East,State,Graduate,2L–5L,Yes,Mobile,Monthly,No,Yes,0,1.5,0.78,High
S3994,F,26-35,East,ICSE,Graduate,2L–5L,Yes,Mobile,Monthly,Yes,Yes,0,1.4,0.64,High
S3995,F,36-45,South,ICSE,None,5L–10L,Yes,Tablet,Monthly,No,Yes,1,2.5,0.72,Low
S3996,F,0-25,North,State,Graduate,5L–10L,Yes,Mobile,Weekly,No,No,2,1.6,0.67,Moderate
S3997,F,0-25,North,State,Graduate,<2L,Yes,Mobile,Monthly,No,No,2,0.5,0.95,High
S3998,F,36-45,East,CBSE,School,2L–5L,Yes,Mobile,Monthly,No,Yes,2,1.4,0.99,Moderate
S3999,F,36-45,West,ICSE,Graduate,2L–5L,Yes,Tablet,Daily,No,Yes,1,1.3,0.77,High
S4000,F,26-35,North,CBSE,Postgraduate,<2L,Yes,Tablet,Monthly,No,Yes,1,1.4,0.67,High
S4001,M,0-25,North,CBSE,School,5L–10L,Yes,Laptop,Weekly,No,No,2,3.0,0.64,Moderate
S4002,M,26-35,East,ICSE,School,2L–5L,Yes,Mobile,Weekly,No,Yes,0,0.7,0.8,Moderate
S4003,M,36-45,South,State,Postgraduate,<2L,Yes,Tablet,Monthly,No,Yes,1,0.6,0.65,High
S4004,F,26-35,East,ICSE,School,2L–5L,Yes,Mobile,Daily,Yes,Yes,0,2.0,0.61,High
S4005,F,26-35,West,CBSE,None,2L–5L,Yes,Tablet,Weekly,No,Yes,0,1.8,0.97,Moderate
S4006,F,36-45,West,ICSE,Graduate,5L–10L,Yes,Tablet,Weekly,Yes,Yes,0,3.3,0.78,High
S4007,F,0-25,East,State,Graduate,2L–5L,Yes,Laptop,Weekly,No,No,2,3.4,0.88,Moderate
S4008,F,26-35,West,ICSE,School,5L–10L,Yes,Laptop,Monthly,No,Yes,2,2.1,0.94,Moderate
S4009,F,36-45,South,State,Graduate,2L–5L,Yes,Mobile,Weekly,No,No,1,1.2,0.72,High
S4010,F,26-35,South,State,School,2L–5L,Yes,Laptop,Weekly,No,Yes,0,1.5,0.78,Moderate
S4011,M,36-45,South,CBSE,Graduate,2L–5L,Yes,Laptop,Weekly,No,Yes,1,3.2,0.63,Moderate
S4012,F,36-45,West,CBSE,School,<2L,Yes,Tablet,Weekly,No,Yes,0,0.9,0.96,High
S4013,M,36-45,South,State,School,5L–10L,No,Tablet,Weekly,No,No,2,2.2,0.65,High
S4014,M,0-25,East,State,School,<2L,No,Laptop,Daily,No,No,1,3.7,0.62,Moderate
S4015,F,0-25,South,CBSE,None,>10L,Yes,Tablet,Monthly,No,Yes,2,1.2,0.82,Low
S4016,F,36-45,West,State,School,2L–5L,Yes,Laptop,Daily,No,Yes,0,0.5,0.88,High
S4017,M,0-25,North,ICSE,None,>10L,Yes,Mobile,Monthly,No,Yes,2,2.2,0.67,High
S4018,M,26-35,West,State,None,5L–10L,Yes,Laptop,Monthly,Yes,No,1,1.7,0.77,High
S4019,F,0-25,East,State,Postgraduate,<2L,No,Laptop,Weekly,No,No,1,3.0,0.88,High
S4020,F,0-25,East,CBSE,School,<2L,Yes,Mobile,Monthly,No,Yes,1,3.4,0.81,Low
S4021,M,26-35,West,CBSE,None,5L–10L,Yes,Mobile,Daily,No,Yes,2,1.3,0.9,High
S4022,F,26-35,South,CBSE,Postgraduate,5L–10L,Yes,Mobile,Daily,No,Yes,1,1.6,0.73,Moderate
S4023,F,26-35,South,ICSE,Graduate,<2L,Yes,Mobile,Daily,No,No,2,0.6,0.72,High
S4024,F,36-45,North,State,None,>10L,Yes,Tablet,Weekly,No,No,2,2.6,0.93,High
S4025,M,26-35,South,State,None,5L–10L,Yes,Tablet,Daily,No,No,0,2.5,0.8,Moderate
S4026,M,26-35,East,CBSE,None,2L–5L,Yes,Tablet,Weekly,No,No,0,2.2,0.67,High
S4027,M,26-35,South,State,Postgraduate,>10L,Yes,Tablet,Daily,No,No,1,1.3,0.63,High
S4028,F,36-45,West,State,Postgraduate,<2L,Yes,Laptop,Monthly,No,Yes,2,2.6,0.96,Moderate
S4029,F,0-25,West,ICSE,None,5L–10L,Yes,Tablet,Monthly,No,No,1,2.7,0.92,Moderate
S4030,M,36-45,North,State,School,5L–10L,Yes,Tablet,Weekly,No,Yes,2,3.4,0.61,Moderate
S4031,M,0-25,East,ICSE,Postgraduate,>10L,Yes,Laptop,Monthly,No,No,2,1.7,0.95,Moderate
S4032,M,26-35,West,State,Postgraduate,5L–10L,Yes,Laptop,Daily,No,Yes,2,3.5,0.95,High
S4033,F,36-45,East,CBSE,Graduate,2L–5L,Yes,Laptop,Weekly,No,Yes,1,3.2,0.92,High
S4034,M,36-45,South,CBSE,Graduate,<2L,Yes,Mobile,Weekly,No,Yes,2,3.4,0.89,High
S4035,M,0-25,North,State,None,>10L,Yes,Tablet,Daily,No,Yes,0,1.1,0.84,High
S4036,F,36-45,North,CBSE,Graduate,>10L,Yes,Laptop,Weekly,No,No,0,1.1,0.76,Moderate
S4037,F,36-45,South,ICSE,School,2L–5L,Yes,Mobile,Daily,No,No,1,3.4,0.8,Low
S4038,F,0-25,West,CBSE,None,5L–10L,Yes,Tablet,Monthly,Yes,No,1,2.5,0.97,High
S4039,M,36-45,East,ICSE,None,>10L,Yes,Laptop,Monthly,No,Yes,2,2.7,0.88,Moderate
S4040,F,36-45,East,State,Postgraduate,<2L,Yes,Mobile,Daily,No,Yes,2,2.2,0.94,Low
S4041,F,26-35,East,State,None,5L–10L,Yes,Mobile,Daily,No,No,1,3.0,0.69,High
S4042,M,26-35,West,CBSE,Graduate,>10L,Yes,Tablet,Weekly,No,No,1,2.5,0.9,High
S4043,F,26-35,South,State,None,>10L,Yes,Tablet,Daily,No,Yes,1,0.9,0.81,Moderate
S4044,M,26-35,East,State,None,<2L,Yes,Tablet,Weekly,No,No,0,1.5,0.64,Moderate
S4045,M,26-35,West,ICSE,Graduate,>10L,Yes,Mobile,Monthly,Yes,Yes,0,3.7,0.64,Moderate
S4046,F,36-45,East,ICSE,Postgraduate,5L–10L,Yes,Laptop,Daily,No,No,1,2.1,0.64,High
S4047,F,36-45,West,State,School,2L–5L,No,Laptop,Monthly,No,Yes,0,1.2,0.67,High
S4048,F,26-35,South,CBSE,Graduate,>10L,Yes,Mobile,Weekly,No,Yes,1,1.8,0.77,High
S4049,F,0-25,East,CBSE,School,2L–5L,Yes,Tablet,Daily,No,Yes,2,1.5,0.91,Moderate
S4050,F,26-35,South,CBSE,School,<2L,Yes,Tablet,Daily,No,Yes,2,2.7,0.95,High
S4051,F,36-45,North,State,School,2L–5L,Yes,Tablet,Monthly,No,No,1,2.4,0.96,High
S4052,M,0-25,West,CBSE,None,>10L,Yes,Mobile,Daily,No,Yes,0,0.9,0.63,High
S4053,M,26-35,North,CBSE,School,<2L,No,Laptop,Weekly,No,No,1,3.6,0.88,Low
S4054,F,0-25,South,State,Postgraduate,5L–10L,Yes,Mobile,Monthly,No,No,1,1.7,0.72,Moderate
S4055,M,26-35,South,ICSE,Postgraduate,2L–5L,Yes,Mobile,Daily,No,Yes,2,3.0,0.8,High
S4056,F,36-45,South,ICSE,Postgraduate,>10L,Yes,Tablet,Daily,No,No,1,2.1,0.85,Low
S4057,M,26-35,East,State,None,5L–10L,Yes,Laptop,Weekly,No,No,2,3.9,0.79,Low
S4058,M,0-25,East,ICSE,Graduate,2L–5L,Yes,Mobile,Monthly,No,Yes,1,2.8,0.71,Moderate
S4059,M,36-45,South,CBSE,Postgraduate,5L–10L,Yes,Laptop,Weekly,No,Yes,2,3.9,0.64,Moderate
S4060,F,26-35,South,State,School,>10L,Yes,Tablet,Weekly,No,No,0,3.3,0.75,High
S4061,M,26-35,East,State,None,>10L,Yes,Laptop,Monthly,No,No,1,2.6,0.97,High
S4062,F,26-35,East,ICSE,None,2L–5L,Yes,Tablet,Monthly,No,No,1,2.7,0.64,High
S4063,M,26-35,West,State,Postgraduate,2L–5L,Yes,Mobile,Weekly,No,No,2,2.9,0.72,Low
S4064,M,36-45,South,State,School,>10L,Yes,Mobile,Monthly,No,Yes,1,2.8,0.84,High
S4065,M,36-45,East,CBSE,School,5L–10L,Yes,Tablet,Daily,No,Yes,2,0.8,0.8,High
S4066,M,26-35,East,State,Postgraduate,2L–5L,No,Laptop,Daily,No,No,1,2.7,0.73,Moderate
S4067,M,36-45,North,State,School,>10L,Yes,Laptop,Monthly,No,No,1,1.5,0.97,High
S4068,F,0-25,South,State,None,<2L,Yes,Laptop,Monthly,No,Yes,2,1.8,0.87,Moderate
S4069,F,36-45,South,State,None,5L–10L,Yes,Laptop,Weekly,No,Yes,1,0.8,0.65,Moderate
S4070,M,0-25,East,ICSE,Postgraduate,<2L,Yes,Tablet,Daily,No,Yes,2,3.2,0.68,High
S4071,M,0-25,North,State,School,<2L,Yes,Laptop,Weekly,No,No,0,1.5,0.69,Moderate
S4072,M,36-45,West,CBSE,Graduate,5L–10L,No,Mobile,Daily,No,Yes,0,1.9,0.96,Moderate
S4073,M,26-35,South,ICSE,Postgraduate,<2L,Yes,Mobile,Daily,No,No,1,2.8,0.95,High
S4074,F,36-45,West,State,None,<2L,Yes,Mobile,Monthly,No,Yes,0,3.9,0.87,Moderate
S4075,M,0-25,South,ICSE,Postgraduate,<2L,Yes,Laptop,Weekly,No,No,0,0.7,0.95,Low
S4076,F,0-25,East,State,Postgraduate,>10L,Yes,Laptop,Daily,No,No,1,0.7,0.96,High
S4077,M,36-45,West,State,None,<2L,Yes,Mobile,Monthly,No,Yes,1,1.6,0.88,Moderate
S4078,F,0-25,South,ICSE,Graduate,<2L,Yes,Laptop,Monthly,No,Yes,1,3.2,0.81,High
S4079,M,36-45,West,ICSE,Postgraduate,5L–10L,Yes,Tablet,Weekly,No,No,2,3.6,0.81,Moderate
S4080,M,36-45,East,ICSE,Graduate,5L–10L,Yes,Laptop,Monthly,No,Yes,1,0.9,0.69,Moderate
S4081,F,26-35,North,ICSE,Graduate,<2L,Yes,Laptop,Monthly,No,Yes,1,1.7,0.66,Low
S4082,M,0-25,North,CBSE,None,<2L,No,Laptop,Weekly,No,Yes,2,1.7,0.84,Moderate
S4083,M,36-45,West,ICSE,Postgraduate,<2L,Yes,Mobile,Monthly,No,Yes,1,1.4,0.82,Low
S4084,M,0-25,West,CBSE,Postgraduate,>10L,Yes,Tablet,Monthly,No,No,1,3.0,0.76,Moderate
S4085,F,36-45,West,State,Graduate,<2L,No,Tablet,Weekly,No,No,2,2.3,0.67,High
S4086,M,36-45,South,State,Postgraduate,5L–10L,Yes,Mobile,Daily,No,No,0,0.6,0.84,Low
S4087,M,26-35,East,ICSE,Graduate,5L–10L,Yes,Mobile,Daily,No,No,2,0.7,0.97,High
S4088,F,36-45,West,State,None,<2L,Yes,Tablet,Weekly,No,Yes,2,2.1,0.8,Moderate
S4089,F,26-35,North,CBSE,None,<2L,Yes,Laptop,Weekly,No,Yes,1,1.4,0.79,High
S4090,F,0-25,South,CBSE,None,5L–10L,Yes,Mobile,Daily,No,No,1,0.7,0.68,Moderate
S4091,M,26-35,West,ICSE,Graduate,<2L,Yes,Mobile,Monthly,No,Yes,1,1.2,0.79,Moderate
S4092,M,26-35,South,ICSE,Postgraduate,<2L,Yes,Tablet,Weekly,No,No,2,0.8,0.7,High
S4093,M,0-25,West,ICSE,Postgraduate,>10L,No,Tablet,Weekly,No,Yes,1,3.6,0.96,High
S4094,F,26-35,West,CBSE,School,<2L,No,Mobile,Monthly,No,No,2,1.3,0.83,Moderate
S4095,M,26-35,South,ICSE,School,>10L,Yes,Mobile,Monthly,No,Yes,2,2.4,0.76,High
S4096,M,36-45,East,CBSE,None,2L–5L,Yes,Tablet,Weekly,No,No,2,0.7,0.99,High
S4097,F,26-35,East,CBSE,Postgraduate,>10L,Yes,Laptop,Daily,No,No,2,3.2,0.99,High
S4098,F,36-45,North,State,Graduate,<2L,Yes,Tablet,Monthly,No,No,1,0.7,0.97,Moderate
S4099,F,26-35,East,State,Graduate,<2L,Yes,Laptop,Weekly,No,Yes,2,1.2,0.9,High
S4100,F,0-25,East,ICSE,Graduate,5L–10L,Yes,Tablet,Monthly,No,Yes,1,2.8,0.67,High
S4101,F,0-25,South,ICSE,Postgraduate,<2L,No,Mobile,Daily,No,Yes,1,3.9,0.99,Moderate
S4102,M,26-35,South,ICSE,Postgraduate,<2L,Yes,Mobile,Daily,No,No,2,1.2,0.69,Low
S4103,F,36-45,North,ICSE,None,<2L,Yes,Mobile,Daily,No,Yes,0,0.7,0.62,High
S4104,M,26-35,West,CBSE,School,>10L,Yes,Laptop,Weekly,Yes,No,1,1.9,0.96,Moderate
S4105,M,36-45,South,ICSE,Postgraduate,>10L,Yes,Laptop,Monthly,No,No,1,2.2,0.82,Low
S4106,F,26-35,South,State,Graduate,2L–5L,Yes,Tablet,Monthly,No,No,0,2.9,0.7,High
S4107,F,0-25,South,ICSE,Postgraduate,>10L,No,Laptop,Weekly,No,No,2,3.5,0.94,High
S4108,F,0-25,East,CBSE,School,5L–10L,Yes,Tablet,Monthly,No,No,1,2.0,0.64,High
S4109,M,36-45,South,State,School,>10L,Yes,Mobile,Monthly,No,No,2,2.9,0.9,Moderate
S4110,F,26-35,North,State,Graduate,<2L,Yes,Mobile,Daily,No,Yes,1,1.2,0.7,High
S4111,F,36-45,North,ICSE,None,>10L,Yes,Mobile,Daily,No,Yes,2,3.8,0.71,High
S4112,F,0-25,South,State,School,<2L,Yes,Mobile,Weekly,No,Yes,2,1.8,0.89,High
S4113,F,36-45,West,State,School,5L–10L,Yes,Mobile,Weekly,No,Yes,2,1.0,0.84,High
S4114,F,26-35,South,ICSE,School,2L–5L,No,Laptop,Weekly,No,Yes,1,1.8,0.67,High
S4115,M,36-45,North,ICSE,School,2L–5L,Yes,Laptop,Weekly,No,Yes,0,1.1,0.99,Moderate
S4116,M,26-35,West,CBSE,School,2L–5L,Yes,Mobile,Daily,No,No,1,1.7,0.74,Moderate
S4117,M,26-35,East,State,Postgraduate,2L–5L,Yes,Laptop,Daily,No,Yes,2,3.2,0.81,Low
S4118,F,0-25,South,ICSE,Graduate,<2L,Yes,Mobile,Monthly,No,No,2,0.9,0.63,High
S4119,F,26-35,North,State,Postgraduate,<2L,Yes,Mobile,Daily,No,Yes,2,0.8,0.95,High
S4120,F,26-35,East,ICSE,None,>10L,Yes,Tablet,Weekly,No,No,0,1.0,0.84,High
S4121,M,26-35,North,CBSE,School,<2L,Yes,Laptop,Daily,No,No,2,2.0,0.96,Moderate
S4122,F,36-45,East,ICSE,None,2L–5L,Yes,Laptop,Weekly,Yes,No,0,1.0,0.63,Low
S4123,F,0-25,North,ICSE,None,<2L,Yes,Laptop,Monthly,No,Yes,1,3.2,0.8,High
S4124,F,36-45,North,CBSE,Graduate,5L–10L,Yes,Mobile,Monthly,No,No,2,2.9,0.96,High
S4125,M,36-45,East,ICSE,Postgraduate,5L–10L,Yes,Laptop,Monthly,No,No,0,3.7,0.83,Moderate
S4126,F,0-25,South,CBSE,None,5L–10L,Yes,Tablet,Weekly,No,Yes,1,3.8,0.66,High
